vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
MORRIS CHEMICALS,1,1,79353.88,0.0,1e-05,0.99726,0.0
MED e-CARE HEALTH SOLUTIONS INC,1,1,79220.56,79220.56,1e-05,0.99727,1.0
WASTE CONNECTIONS OF CANADA INC.,1,1,78744.6,0.0,1e-05,0.99728,0.0
WARLYN CONSTRUCTION LTD,1,1,78677.5,78677.5,1e-05,0.99729,1.0
TENUMBRA INC.,1,1,78591.0,0.0,1e-05,0.9973,0.0
LOCAL GARDENING SERVICES,1,2,78536.15,0.0,1e-05,0.99731,0.0
DBA SENSEQUAKE (9420410 CANADA INC),2,2,78414.0,78414.0,1e-05,0.99732,1.0
PROFEX CONSTRUCTION INC,1,1,77838.25,0.0,1e-05,0.99733,0.0
STITTSVILLE TRAILER & AUTO SALES IN,2,2,77780.0,0.0,1e-05,0.99734,0.0
OPEN REGENERATIVE TECHNOLOGIES INC,3,3,77750.0,77750.0,1e-05,0.99735,1.0
OXARO INC,1,1,77700.0,0.0,1e-05,0.99736,0.0
YRH INC,1,1,77637.5,0.0,1e-05,0.99737,0.0
PUBLIC EMERGENCY ALERTING,1,1,77500.0,0.0,1e-05,0.99738,0.0
"STRATHMAR TRENCHING LTD,RW TOMLINSON LTD,ASL AGRODRAIN LIMITED",1,1,77133.4,0.0,1e-05,0.99739,0.0
HANDICARE CANADA LTD,2,2,76907.58,76907.58,1e-05,0.9974,1.0
MAPLE LEAF ROPES,1,1,76442.6,0.0,1e-05,0.99741,0.0
MUNICIPAL TAX EQUITY CONSULTANTS IN,2,2,76250.0,0.0,1e-05,0.99742,0.0
GREENTECH,2,2,76170.0,0.0,1e-05,0.99743,0.0
WINSTON WILMONT INC.,2,2,76000.0,76000.0,1e-05,0.99744,1.0
DYMECH ENGINEERING INC,1,1,74222.5,0.0,1e-05,0.99745,0.0
DSQ CONSTRUCTION,1,1,73577.56,0.0,1e-05,0.99746,0.0
"RW TOMLINSON LTD,GIP PAVING INC",1,1,73210.0,0.0,1e-05,0.99747,0.0
SAMSON & ASSOCIES CPA CONSULTATION,1,1,72987.5,72987.5,1e-05,0.99748,1.0
RHEA INC.,2,2,72615.0,72615.0,1e-05,0.99749,1.0
DESIGN AND SYSTEMS,1,1,72541.73,0.0,1e-05,0.9975,0.0
"MALWOOD (9135545 CANADA INC),OSGOODE SAND AND GRAVEL LIMITED",1,1,72480.0,0.0,1e-05,0.99751,0.0
LUBESOURCE (CATALYS LUBRICANTS) (12317541 CANADA INC),1,1,72414.18,0.0,1e-05,0.99752,0.0
GREELY CONSTRUCTION INC,1,1,72410.41,0.0,1e-05,0.99753,0.0
CARRIER ENTERPRISE CANADA LP,1,1,71770.5,71770.5,1e-05,0.99754,1.0
SENSEQUAKE (9420410 CANADA INC),1,1,71712.0,71712.0,1e-05,0.99755,1.0
IBISKA TELECOM INC,2,2,71125.0,27125.0,1e-05,0.99756,0.3814
POPULUS TECHNOLOGIES INC,1,2,70600.0,70600.0,1e-05,0.99757,1.0
"HARLOW SNOWPLOWING AND,MCWILLIAMS CONSTRUCTION LIMITED,PRODIGY PROPERTY MAINTENANCE INC",1,1,70596.09,0.0,1e-05,0.99758,0.0
ALLIED MEDICAL INSTRUMENTS INC,1,1,70512.4,0.0,1e-05,0.99759,0.0
MAZEWELD A SANA DEE INC COMPANY,2,2,70419.0,0.0,1e-05,0.9976,0.0
RIDEAU ELEVATOR SERVICES INC,1,1,70406.6,0.0,1e-05,0.99761,0.0
GETSTEROO GMBH,1,1,70380.0,70380.0,1e-05,0.99762,1.0
RENOWN ELECTRIC MOTORS & REPAIR INC,1,1,70279.0,0.0,1e-05,0.99763,0.0
CANADA TICKET,2,2,70120.0,0.0,1e-05,0.99764,0.0
NIMBLE INFORMATION STRATEGIES INC,1,1,70080.0,0.0,1e-05,0.99765,0.0
CASCADES RECOVERY +,2,2,70000.0,70000.0,1e-05,0.99766,1.0
XK INNOVATE INC,1,1,69303.3,69303.3,1e-05,0.99767,1.0
ALLDATA,1,1,69000.0,69000.0,1e-05,0.99768,1.0
"ORBIS CANADA LTD,IPL NORTH AMERICA INC,RAELKON TEAMS INC",1,1,68166.77,0.0,1e-05,0.99769,0.0
SILVER LININGS HEALTHCARE INC,1,1,67751.01,0.0,1e-05,0.9977,0.0
CORNERSTONES MANAGEMENT,2,2,67000.0,67000.0,1e-05,0.99771,1.0
SKALAR INC,1,1,66715.0,66715.0,1e-05,0.99772,1.0
PERRY O'GRADY CONTRACTING,2,2,66690.0,0.0,1e-05,0.99773,0.0
UPLAND SOFTWARE INC/LOGICIELS UPLAN,1,1,66493.33,66493.33,1e-05,0.99774,1.0
"MILLERS TRUCKING AND EXCAVATION LTD,MIKE MORRIS EQUIPMENT RENTALS INC",1,1,66360.0,0.0,1e-05,0.99775,0.0
ROLLING LUXURY INC.,1,1,66330.0,66330.0,1e-05,0.99776,1.0
HONEY CONSTRUCTION LTD,1,1,66312.0,0.0,1e-05,0.99777,0.0
MYERS?ORLEANS CHEV?BUICK? GMC,1,1,66283.0,66283.0,1e-05,0.99778,1.0
VEZINA OPTICIANS,1,1,65800.14,0.0,1e-05,0.99779,0.0
KATHERINE ANN HIRSCH,2,2,65635.0,65635.0,1e-05,0.9978,1.0
SPORTSYSTEMS CANADA INC.,2,2,65262.0,37393.0,1e-05,0.99781,0.573
PETRO?CANADA LUBRICANTS INC,1,1,65080.0,0.0,1e-05,0.99782,0.0
BOYDEN ONTARIO INC,1,1,65000.0,0.0,1e-05,0.99783,0.0
MINWAASHIN LODGE,1,1,65000.0,65000.0,1e-05,0.99784,1.0
TOTAL FIRE PROTECTION INC,1,1,65000.0,0.0,1e-05,0.99785,0.0
CANADIAN RED CROSS SOCIETY,1,1,65000.0,65000.0,1e-05,0.99786,1.0
PR TY ARCHITECTS INC,2,2,64982.5,0.0,1e-05,0.99787,0.0
UNIVERSAL POWER SOLUTIONS,1,1,64940.0,0.0,1e-05,0.99788,0.0
B G GORHAM CONSTRUCTION,1,1,64761.96,0.0,1e-05,0.99789,0.0
PREVOST CAR INC,1,1,64073.44,64073.44,1e-05,0.9979,1.0
PATERSON GROUP CONSULTING ENGINEERS,1,1,63840.0,0.0,1e-05,0.99791,0.0
ADIAS IMPEX LTD,1,1,62701.1,0.0,1e-05,0.99792,0.0
CORNWALL GRAVEL,1,1,62560.0,0.0,1e-05,0.99793,0.0
DAIKIN APPLIED CANADA INC,1,1,62550.0,62550.0,1e-05,0.99794,1.0
"GREEN WORKS CONTRACTING INC,BURNS LANDSCAPE MAINTENANCE",1,1,62521.03,0.0,1e-05,0.99795,0.0
MICHAEL G HADDAD (14266111 CANADA INC),1,1,62400.0,62400.0,1e-05,0.99796,1.0
LEAN AGILITY INC,2,2,62205.0,0.0,1e-05,0.99797,0.0
RIMKUS CONSULTING GROUP CANADA INC,1,1,62133.5,0.0,1e-05,0.99798,0.0
"ABC RECREATION LTD,HENDERSON RECREATION EQUIPMENT,NEW WORLD PARK SOLUTIONS INC,OPENSPACE SOLUTIONS INC,PARK N PLAY DESIGN COMPANY LTD",1,1,62056.98,0.0,1e-05,0.99799,0.0
INDUSTRIAL ELECTRICAL CONTRACTORS,1,1,61620.47,0.0,1e-05,0.998,0.0
TOERSA SECURITY INC,1,1,60633.68,0.0,1e-05,0.99801,0.0
BELANGER CHRYSLER DODGE JEEP RAM IN,1,1,60367.0,60367.0,1e-05,0.99802,1.0
DOTMAR FITNESS EQUIPMENT INC.,1,1,60300.0,0.0,1e-05,0.99803,0.0
POWERSCREEN OF CANADA,1,1,60000.0,60000.0,1e-05,0.99804,1.0
RONALD C LISTER CANADA INC,1,1,60000.0,0.0,1e-05,0.99805,0.0
ROGERS TV? OTTAWA,1,1,60000.0,60000.0,1e-05,0.99806,1.0
CANADIAN RED CROSS,1,1,59998.0,59998.0,1e-05,0.99807,1.0
PKS EQUIPMENT AND ENGINEERING INC,1,1,59923.0,59923.0,1e-05,0.99808,1.0
GOSS GILROY INC,1,1,59830.0,59830.0,1e-05,0.99809,1.0
STANTEC CONSULTING LTD.,1,1,59598.0,0.0,1e-05,0.9981,0.0
PLATINUM 10 RESCUE SYSTEMS (2542149 ONTARIO LTD),1,1,59511.54,59511.54,1e-05,0.99811,1.0
LAVA COMPUTER MFG. INC.,1,1,59500.0,59500.0,1e-05,0.99812,1.0
OXARO INC.,1,1,59500.0,0.0,1e-05,0.99813,0.0
GEORGE COUREY,1,1,59472.0,0.0,1e-05,0.99814,0.0
DATASPLICE LLC,1,1,59447.0,59447.0,1e-05,0.99815,1.0
CONCEPT CONTROLS INC,1,1,59364.0,59364.0,1e-05,0.99816,1.0
3M CANADA INC,1,1,58888.13,0.0,1e-05,0.99817,0.0
WESCO DISTRIBUTION CANADA INC,1,1,58833.6,0.0,1e-05,0.99818,0.0
NORTHERN SPECIALTY SUPPLIES INC,2,2,58585.8,0.0,1e-05,0.99819,0.0
SENSEN NETWORKS LTD,1,1,58500.0,58500.0,1e-05,0.9982,1.0
DONNELLY FORD LINCOLN,1,1,58270.1,0.0,1e-05,0.99821,0.0
GEOVERRA INC,1,1,57989.0,0.0,1e-05,0.99822,0.0
FOREVER GREEN ROOFING INC,1,1,57805.88,57805.88,1e-05,0.99823,1.0
AQUAM INC,1,1,57804.55,0.0,1e-05,0.99824,0.0
SYMBEO INC,1,1,57600.0,57600.0,1e-05,0.99825,1.0
MYERS CHEV OLDS CADILLAC INC.,1,1,57032.84,0.0,1e-05,0.99826,0.0
SAFEGUARD PERIMETER SOLUTIONS INC,1,1,57010.54,57010.54,1e-05,0.99827,1.0
LEADING MOBILITY CONSULTING LTD,1,1,57000.0,57000.0,1e-05,0.99828,1.0
"GRAY MATTER SYSTEMS, LLC",1,1,56980.0,56980.0,1e-05,0.99829,1.0
BUY SOCIAL CANADA CCC LTD.,1,1,56831.51,56831.51,1e-05,0.9983,1.0
VELO-TRANSIT,2,2,56415.0,56415.0,1e-05,0.99831,1.0
DAVID BERMAN COMMUNICATIONS,2,2,56413.5,0.0,1e-05,0.99832,0.0
ROBERTSON RENT ALL INC,1,1,56408.5,0.0,1e-05,0.99833,0.0
ABB EMOBILITY INC,1,1,55810.96,55810.96,1e-05,0.99834,1.0
REHRIG PACIFIC COMPANY,1,1,55675.0,0.0,1e-05,0.99835,0.0
CAPITAL SECURITY AND,1,1,55495.6,0.0,1e-05,0.99836,0.0
SIMONEAU & STERLING INC,1,1,55235.0,55235.0,1e-05,0.99837,1.0
NEDCO DIV OF REXEL CANADA ELECTRICA,1,1,55147.05,0.0,1e-05,0.99838,0.0
ACKLANDS GRAINGER INC,1,1,55141.43,0.0,1e-05,0.99839,0.0
NATIONAL CAPITAL COMMISSION,1,1,55000.0,0.0,1e-05,0.9984,0.0
STRATEGY MANAGEMENT INSTITUTE,1,1,54738.0,54738.0,1e-05,0.99841,1.0
BERRN CONSULTING LTD,1,1,54607.41,0.0,1e-05,0.99842,0.0
"SILVER SCRIPTS INC,ONTARIO MEDICAL SUPPLY",1,1,54534.34,0.0,1e-05,0.99843,0.0
ZIRO TECHNOLOGIES INC,1,1,54518.94,54518.94,1e-05,0.99844,1.0
PCS GENERAL CONTRACTORS,1,1,54450.0,0.0,1e-05,0.99845,0.0
IFATHOM CORPORATION,1,1,54337.5,54337.5,1e-05,0.99846,1.0
LRI ENGINEERING INC,2,2,54238.0,0.0,1e-05,0.99847,0.0
MCWILLIAMS CONSTRUCTION LIMITED,1,2,53830.0,0.0,1e-05,0.99848,0.0
LES INDUSTRIES TAG RIVE SUD INC,1,1,53700.0,53700.0,1e-05,0.99849,1.0
WILLIAM A HARPER,1,1,53550.0,53550.0,1e-05,0.9985,1.0
"R.C. SYSTEMS, INC.",1,1,53387.75,53387.75,1e-05,0.99851,1.0
SITECH MID?CANADA LTD,1,1,53205.14,0.0,1e-05,0.99852,0.0
"BORDER CONTROL BIRD DOGS INC,AERIAL PERSPECTIVE",1,1,53124.4,0.0,1e-05,0.99853,0.0
BBC GLOBAL NEWS LTD,1,1,52957.0,52957.0,1e-05,0.99854,1.0
MYERS-ORLEANS CHEV-BUICK-GMC,1,1,52917.51,0.0,1e-05,0.99855,0.0
A ROHLING CONTRUSTION SERVICES INC.,1,1,52895.23,0.0,1e-05,0.99856,0.0
PURPLE POTTIES,2,2,52522.36,0.0,1e-05,0.99857,0.0
TWIN EQUIPMENT LIMITED,2,2,52489.72,0.0,1e-05,0.99858,0.0
GRADIENT WIND ENGINEERING INC,1,1,52200.0,52200.0,1e-05,0.99859,1.0
ROONEY IRVING AND ASSOC LTD,1,1,51701.0,0.0,1e-05,0.9986,0.0
IN-DEPTH CONTRACTING,1,1,51623.0,0.0,1e-05,0.99861,0.0
LEASEWEB CANADA INC,1,1,51315.24,51315.24,1e-05,0.99862,1.0
STITTSVILLE TRAILER & AUTO SALES INC,1,1,51300.0,0.0,1e-05,0.99863,0.0
"GODFREY ROOFING INC,ATLAS-APEX ROOFING (OTTAWA) INC,ROOF TOPS ROOFING LTD",1,1,50000.0,0.0,1e-05,0.99864,0.0
CANADIAN INTERCITY (2647475 ONTARIO LIMITED),1,1,50000.0,50000.0,1e-05,0.99865,1.0
"D AND H FENCING,BRADLEY'S LANDSCAPING INC",1,1,50000.0,0.0,1e-05,0.99866,0.0
A ADAIR & ASSOCIATES CONSULTING INC,1,1,50000.0,50000.0,1e-05,0.99867,1.0
.,1,1,50000.0,50000.0,1e-05,0.99868,1.0
COMSATEC INC.,1,1,50000.0,0.0,1e-05,0.99869,0.0
MANAGERIUM,1,1,49950.0,49950.0,1e-05,0.9987,1.0
CAPITAL TRUCK BODIES INC,1,1,49900.0,0.0,1e-05,0.99871,0.0
ACCARA INC.,1,1,49610.25,0.0,1e-05,0.99872,0.0
BALL CONSTRUCTION INC,1,1,49495.0,49495.0,1e-05,0.99873,1.0
STRATEGYCORP OTTAWA INC.,1,1,49408.31,49408.31,1e-05,0.99874,1.0
SOFTCHOICE LP,1,1,49377.0,0.0,1e-05,0.99875,0.0
CREATIVE ARTISTS AGENCY,1,1,49100.0,49100.0,1e-05,0.99876,1.0
XANTHUS SECURITY INC,1,1,49000.0,0.0,1e-05,0.99877,0.0
DR YM MARKUS MEDICINE,1,1,48960.0,48960.0,1e-05,0.99878,1.0
GABRIEL MACKINNON INC,1,1,48896.4,48896.4,1e-05,0.99879,1.0
BRIGHT ELECTRIC,1,1,48855.7,48855.7,1e-05,0.9988,1.0
ART ENGINEERING INC.,1,1,48645.0,0.0,1e-05,0.99881,0.0
PROFESSIONAL SOUND AND LIGHTING,1,1,48638.5,0.0,1e-05,0.99882,0.0
INTU DESIGN LTD,1,1,48411.0,0.0,1e-05,0.99883,0.0
TECHNICAL STANDARDS SAFETY AUTHORITY (8864926 CANADA INC. DRSS),1,1,48407.82,0.0,1e-05,0.99884,0.0
GIC?GREENFLOW,1,1,48235.0,0.0,1e-05,0.99885,0.0
AINSWORTH INC.,1,1,48000.0,48000.0,1e-05,0.99886,1.0
BETTY DION ENTERPRISES LTD,1,1,47961.25,47961.25,1e-05,0.99887,1.0
CONNEX TELECOMMUNICATIONS INC,1,1,47852.09,0.0,1e-05,0.99888,0.0
MG POWER SERVICE ASSOCIATES INC,1,1,47300.0,0.0,1e-05,0.99889,0.0
ANIXTER CANADA INC,1,1,47255.32,0.0,1e-05,0.9989,0.0
"EPS US, LLC",1,1,46883.71,46883.71,1e-05,0.99891,1.0
RESILIENT WORLD INSTITUTE,1,1,46800.0,46800.0,1e-05,0.99892,1.0
"KCE CONSTRUCTION LTD,POLANE EXCAVATION,W H MACSWEYN INC",1,1,46791.8,0.0,1e-05,0.99893,0.0
1-888-DR WASTE INC.,1,1,46739.0,46739.0,1e-05,0.99894,1.0
WRIGHT'S WELDING LTD,1,1,46725.0,0.0,1e-05,0.99895,0.0
LIMEROCK SECURITY INC,1,1,46638.4,0.0,1e-05,0.99896,0.0
KILMARNOCK ENTERPRISE,1,1,46630.0,0.0,1e-05,0.99897,0.0
XL SHELTER,1,1,46452.0,0.0,1e-05,0.99898,0.0
ALLIANCE CORPORATION,1,1,46379.08,46379.08,1e-05,0.99899,1.0
STRATFORD GROUP LTD,1,1,46268.0,46268.0,1e-05,0.999,1.0
IRON ROAD SOFTWARE & SIMULATION INC,1,1,46240.0,46240.0,1e-05,0.99901,1.0
G HO ENGINEERING CONSULTANTS INC,1,1,46227.5,0.0,1e-05,0.99902,0.0
BRONSON CONSULTING GROUP,1,1,46200.0,0.0,1e-05,0.99903,0.0
ROTORK CONTROLS (CANADA) LIMITED,1,1,46160.19,46160.19,1e-05,0.99904,1.0
TURNER & TOWNSEND,1,1,45870.0,45870.0,1e-05,0.99905,1.0
LANSDOWNE TECHNOLOGIES INC,1,1,45825.0,45825.0,1e-05,0.99906,1.0
"CTM SWEEPING CO,WARNOCK EQUIPMENT SERVICES LTD",1,1,45580.0,0.0,1e-05,0.99907,0.0
PROCLEAN SERVICES,1,1,45507.96,0.0,1e-05,0.99908,0.0
ANTHRATECH WESTERN INC,1,1,45350.0,0.0,1e-05,0.99909,0.0
RIDER TOOL AND MANUFACTURING CO,1,1,45300.0,45300.0,1e-05,0.9991,1.0
SOBANA WELDING,1,1,45292.5,0.0,1e-05,0.99911,0.0
ATS TRAFFIC LTD,1,1,45086.96,0.0,1e-05,0.99912,0.0
WEBTACTICS INC,1,1,45000.0,45000.0,1e-05,0.99913,1.0
CANADA SDS,1,1,45000.0,0.0,1e-05,0.99914,0.0
PLAMONDON & ASSOCIATES INC.,1,1,45000.0,45000.0,1e-05,0.99915,1.0
ALGARVE MAINTENANCE SERVICES LTD,1,1,45000.0,0.0,1e-05,0.99916,0.0
AC LOGISTICS CANADA INC.,1,1,45000.0,0.0,1e-05,0.99917,0.0
MYERS KANATA CHEV BUICK GMC,1,1,44761.0,0.0,1e-05,0.99918,0.0
"ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES, INC. D/B/A SANS INSTITUTE",1,1,44607.88,44607.88,1e-05,0.99919,1.0
BELROC GROUP INC,1,1,44227.4,44227.4,1e-05,0.9992,1.0
RALPH CONNOR COMPANY LTD,1,1,44222.0,44222.0,1e-05,0.99921,1.0
"STREETLIGHT DATA, INC.",1,1,44160.0,44160.0,1e-05,0.99922,1.0
SNC LAVALIN ENVIRONMENT,1,1,44118.39,0.0,1e-05,0.99923,0.0
GIS PLANNING INC,1,1,44100.0,0.0,1e-05,0.99924,0.0
BOSS IMAGE INC,1,1,44000.0,0.0,1e-05,0.99925,0.0
ATELIER PLANTAGENET WORKSHOP,1,1,43650.0,0.0,1e-05,0.99926,0.0
EFFECTIVE COMMAND CANADA LTD,1,1,43450.0,43450.0,1e-05,0.99927,1.0
MOTORCYCLE MASTERS INC,1,1,43200.0,0.0,1e-05,0.99928,0.0
FARLEY SMITH AND DENIS SURVEYING LT,1,1,42715.0,0.0,1e-05,0.99929,0.0
SATORI INTERRESEAUTAGE INC.,1,1,42400.0,42400.0,1e-05,0.9993,1.0
WASTE'N WATERTECH LTD,1,1,42353.28,0.0,1e-05,0.99931,0.0
"AFRICAN, CARIBBEAN & BLACK WELLNESS",1,1,42229.2,42229.2,1e-05,0.99932,1.0
SICOTTE GUILBAULT LLP - IN TRUST,1,1,42042.0,42042.0,1e-05,0.99933,1.0
SSMWHITE CONSULTING,1,1,42000.0,42000.0,1e-05,0.99934,1.0
SPRUCE CREATIVE INC,1,1,42000.0,0.0,1e-05,0.99935,0.0
RESCUE CANADA RESOURCE GROUP INC.,1,1,41976.0,0.0,1e-05,0.99936,0.0
CGI ISMC INC,1,1,41846.48,0.0,1e-05,0.99937,0.0
"MYERS CARSTAR,EASTWAY COLLISION,NEW FLYER INDUSTRIES",1,1,41666.67,0.0,1e-05,0.99938,0.0
PARANIS CONSTRUCTION INC,1,1,41580.0,0.0,1e-05,0.99939,0.0
CANADIAN BABBITT BEARINGS LTD.,1,1,41555.0,0.0,1e-05,0.9994,0.0
LASHLEY + ASSOCIATES CORPORATION,1,1,41320.0,0.0,1e-05,0.99941,0.0
WESTERN CANADA HEAT EXCHANGER LTD,1,1,41201.0,41201.0,1e-05,0.99942,1.0
CARPELL SURFACES INC,1,1,41160.0,41160.0,1e-05,0.99943,1.0
URBANLINK CIVIL LTD.,1,1,40665.04,0.0,1e-05,0.99944,0.0
KB MEDIA CORP.,1,1,40645.0,0.0,1e-05,0.99945,0.0
OPTIMA IMAGING,1,1,40640.0,0.0,1e-05,0.99946,0.0
MARK THOMPSON,1,1,40608.71,40608.71,1e-05,0.99947,1.0
ITALIAN TELEPHONE DIRECTORY (1618442 ONTARIO INC),1,1,40223.0,0.0,1e-05,0.99948,0.0
G DOYON CUISINE INC,1,1,39938.29,0.0,1e-05,0.99949,0.0
INSIGHT CANADA INC,1,1,39817.05,0.0,1e-05,0.9995,0.0
ST LAWRENCE POOLS (1995) LIMITED,1,1,39800.0,0.0,1e-05,0.99951,0.0
CAMM HEAVY MACHINERY MOVERS LIMITED,1,1,39800.0,0.0,1e-05,0.99952,0.0
PICKFIELD LAW PROFESSIONAL CORP,1,1,39600.0,39600.0,1e-05,0.99953,1.0
CUBIC ITS INC,1,1,39566.07,39566.07,1e-05,0.99954,1.0
PEBCO,1,1,39511.05,39511.05,1e-05,0.99955,1.0
IVYS ADSORPTION INC,1,1,39434.0,0.0,1e-05,0.99956,0.0
GOURLAY EQUIPMENT RENTALS,1,1,39250.0,0.0,1e-05,0.99957,0.0
OTB SOLUTIONS GROUP LLC,1,1,39161.0,39161.0,1e-05,0.99958,1.0
INNOVATIVE TRAFFIC SOLUTIONS INC,1,1,39065.96,39065.96,1e-05,0.99959,1.0
SURGENOR NATIONAL LEASING,1,1,39000.0,39000.0,1e-05,0.9996,1.0
BOURDEAU METAL SHOP,1,1,38900.0,38900.0,1e-05,0.99961,1.0
ALTUS GROUP LIMITED,1,1,38625.0,0.0,1e-05,0.99962,0.0
TAMARACK INSTITUTE,1,1,38450.0,38450.0,1e-05,0.99963,1.0
TRUDELL HEALTHCARE SOLUTIONS INC,1,1,38149.0,38149.0,1e-05,0.99964,1.0
ROYAL CROWN CONSTRUCTION (2339366 ONTARIO INC),1,1,38111.48,0.0,1e-05,0.99965,0.0
SITEFORM INC,1,1,38102.0,0.0,1e-05,0.99966,0.0
COMPRISE TECHNOLOGIES INC,1,1,37556.25,37556.25,1e-05,0.99967,1.0
HAYWARD GORDON ULC,1,1,37317.63,0.0,1e-05,0.99968,0.0
LONG BRANCH FOUNDRY INC,1,1,37017.5,37017.5,1e-05,0.99969,1.0
PROTECTIVE CLOTHING SOLUTIONS,1,1,36938.46,36938.46,1e-05,0.9997,1.0
"ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES, INC.",1,1,36895.0,36895.0,1e-05,0.99971,1.0
PARK PLACE TECHNOLOGIES CANADA ULC,1,1,36831.96,36831.96,1e-05,0.99972,1.0
TFC OTTAWA INC,1,1,36696.2,0.0,1e-05,0.99973,0.0
911 SUPPLY AND ADVENTURE GEAR INC,1,1,36680.44,0.0,1e-05,0.99974,0.0
PATTISON OUTDOOR ADVERTISING LP,1,1,36600.0,0.0,1e-05,0.99975,0.0
PARKLANE COMPUTER SYSTEMS,1,1,36585.0,36585.0,1e-05,0.99976,1.0
TROY LIFE AND FIRE SAFETY LTD,1,1,36300.0,0.0,1e-05,0.99977,0.0
AGILE RESPONSE CONSULTING LIMITED,1,1,36121.98,0.0,1e-05,0.99978,0.0
PREDICTIVE SUCCESS CORPORATION,1,1,35938.7,35938.7,1e-05,0.99979,1.0
LEGERE INDUSTRIAL SUPPLIES LTD,1,1,35700.03,35700.03,1e-05,0.9998,1.0
ATARA EQUIPMENT LTD,1,1,35650.0,35650.0,1e-05,0.99981,1.0
MASIMO CANADA ULC,1,1,35580.0,35580.0,1e-05,0.99982,1.0
YORKLAND CONTROLS LTD,1,1,35560.0,0.0,1e-05,0.99983,0.0
CORE EQUIPMENT INC,1,1,35545.62,0.0,1e-05,0.99984,0.0
OTTAWA CONFERENCE AND EVENT CENTRE,1,1,35520.0,0.0,1e-05,0.99985,0.0
NORTHERN TRANSFORMER CORPORATION,1,1,35388.0,35388.0,1e-05,0.99986,1.0
MEASUR(879142 ALBERTA LTD),1,1,35300.0,0.0,1e-05,0.99987,0.0
OMNI MCCANN INC,1,1,35271.5,0.0,1e-05,0.99988,0.0
NEPEAN HOUSING CORPORATION,1,1,35141.17,35141.17,1e-05,0.99989,1.0
ZENCITY TECHNOLOGIES LTD,1,1,35000.0,35000.0,1e-05,0.9999,1.0
PAUL VAN DER WERF,1,1,35000.0,0.0,1e-05,0.99991,0.0
TRICO PACKAGING & PRINT SOLUTIONS I,1,1,35000.0,0.0,1e-05,0.99992,0.0
N BARRY LYON CONSULTANTS LTD,1,1,35000.0,35000.0,1e-05,0.99993,1.0
PRISTINE MAINTENANCE + DESIGN,1,1,34579.5,0.0,1e-05,0.99994,0.0
PATWELL CONSULTING,1,1,34370.07,0.0,1e-05,0.99995,0.0
CAMPANA SYSTEMS INC,1,1,34216.56,34216.56,1e-05,0.99996,1.0
SUSTAINABILITY SOLUTIONS GROUP,1,1,34000.0,34000.0,1e-05,0.99997,1.0
HAWTHORNE CLEANING SYSTEMS LTD,1,1,33900.0,0.0,1e-05,0.99998,0.0
FLEET CHALLENGE ONTARIO,1,1,33881.91,33881.91,1e-05,0.99999,1.0
ACAPULCO,1,1,33720.0,0.0,1e-05,1.0,0.0
THERMO FISHER SCIENTIFIC MISSISSAUG,1,1,33328.86,33328.86,1e-05,1.00001,1.0
ULTEIG CANADA INC,1,1,33195.25,0.0,1e-05,1.00002,0.0
COHEN AND COHEN,1,1,33120.0,0.0,1e-05,1.00003,0.0
BUNZL CANADA KINGSTON,1,1,33099.12,0.0,1e-05,1.00004,0.0
COWI NORTH AMERICA LTD,1,1,32961.5,0.0,1e-05,1.00005,0.0
WESTBORO FLOORING AND DECOR INC,1,1,32928.62,0.0,1e-05,1.00006,0.0
BLUEROVER INC,1,1,32508.0,32508.0,1e-05,1.00007,1.0
FIL-TREK CORPORATION,1,1,32497.5,32497.5,1e-05,1.00008,1.0
UTCOMP INC,1,1,32408.2,32408.2,1e-05,1.00009,1.0
MIRION TECHNOLOGIES (CANBERRA CA) L,1,1,32276.0,0.0,1e-05,1.0001,0.0
MODERN REQUIREMENTS,1,1,32064.0,32064.0,1e-05,1.00011,1.0
NORTHERN COMMUNICATION SERVICES INC,1,1,32000.0,32000.0,1e-05,1.00012,1.0
PRA INC,1,1,31890.0,0.0,1e-05,1.00013,0.0
ALDEA ENGINEERING AND CONSULTING LTD,1,1,31680.0,31680.0,1e-05,1.00014,1.0
S AND L WASTETECH(1146592 ),1,1,31500.0,31500.0,1e-05,1.00015,1.0
LE GROUPE A&A SPECIALISTE DU DOCUMENT (MONTREAL) INC,1,1,31455.0,0.0,1e-05,1.00016,0.0
W ELIAS ENGINEERING CONSULTANTS,1,1,31250.0,0.0,1e-05,1.00017,0.0
HONEY GLASS AND WINDOW LTD,1,1,31224.0,0.0,1e-05,1.00018,0.0
INITIATE MARKETING INC,1,1,31185.0,0.0,1e-05,1.00019,0.0
TRANSOFT SOLUTIONS INC,1,1,31157.5,31157.5,1e-05,1.0002,1.0
FLEETZERO INC,1,1,31150.0,31150.0,1e-05,1.00021,1.0
IWEB TECHNOLOGIES INC,1,1,31126.76,31126.76,1e-05,1.00022,1.0
RATECH ELECTRONICS LIMITED,1,1,31006.8,31006.8,1e-05,1.00023,1.0
FLEET PROSOUND & LIGHTING INC,1,1,30746.55,30746.55,1e-05,1.00024,1.0
SEAWAY VALLEY MILLWRIGHTING INC,1,1,30250.0,0.0,1e-05,1.00025,0.0
