vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
"B G GORHAM CONSTRUCTION,CITY PAVING & INTERLOCK INC,CONCORDIA PAVING (2013) LTD,MAVEN PM,P MUNRO GROUP INC.",1,1,5497755.0,0.0,0.00092,0.83153,0.0
DILLON CONSULTING LIMITED,55,59,5477813.34,0.0,0.00092,0.83245,0.0
WASTE CONNECTIONS OF CANADA INC,3,7,5438182.56,0.0,0.00091,0.83336,0.0
AECOM CANADA LTD,22,24,5425890.87,0.0,0.00091,0.83427,0.0
DIAMOND SCHMITT ARCH KWC ARCH,1,5,5376204.95,0.0,0.0009,0.83517,0.0
DA LEE DUST CONTROL,3,5,5359505.11,0.0,0.0009,0.83607,0.0
MIKE MORRIS EQUIPMENT RENTALS INC,5,7,5287866.34,0.0,0.00089,0.83696,0.0
AMT ADVANCED MUNICIPAL,1,1,5217577.2,0.0,0.00087,0.83783,0.0
"ONTARIO MEDICAL SUPPLY INC.,SILVER SCRIPTS INC",1,1,5209943.28,0.0,0.00087,0.8387,0.0
RAPID CLEANERS (4095839 CANADA INC),8,9,5203302.98,807229.51,0.00087,0.83957,0.1551
K & S WINDSOR SALT LTD,2,5,5133222.14,5133222.14,0.00086,0.84043,1.0
NATSCO,4,4,5038770.71,0.0,0.00084,0.84127,0.0
PURE TECHNOLOGIES LTD,24,26,4966008.36,4966008.36,0.00083,0.8421,1.0
"AQUATECH DEWATERING COMPANY INC,ATLAS DEWATERING CORPORATION",1,1,4795572.01,0.0,0.0008,0.8429,0.0
SANI-GEAR FIRE,2,3,4787658.47,0.0,0.0008,0.8437,0.0
"WHELAN TRUCK REPAIR INC,BENSON TIRE,FRANCIS CANADA TRUCK CENTRE INC",2,2,4631991.49,0.0,0.00078,0.84448,0.0
DELOITTE LLP,15,19,4563102.85,780612.1,0.00076,0.84524,0.1711
BEREKET CLEANING AND,3,3,4561112.87,0.0,0.00076,0.846,0.0
COLLIERS PROJECT LEADERS INC.,16,18,4547551.66,0.0,0.00076,0.84676,0.0
OTTAWA REDLINE CONSTRUCTION LTD,5,6,4536442.85,0.0,0.00076,0.84752,0.0
NEPTUNE TECHNOLOGY GROUP,2,2,4515907.98,26316.66,0.00076,0.84828,0.0058
"TJ CLARKE UTILITIES,JWK UTILITIES AND SITE SERVICES LTD",1,1,4500000.0,0.0,0.00075,0.84903,0.0
TREE COMPASS INC,2,3,4443768.92,0.0,0.00074,0.84977,0.0
DEMERS AMBULANCE MANUFACTURER INC,4,4,4403074.76,4403074.76,0.00074,0.85051,1.0
NATIONAL MAINTENANCE LTD,10,12,4367383.33,57575.44,0.00073,0.85124,0.0132
TRUDEL HOME HARDWARE,1,1,4324063.61,0.0,0.00072,0.85196,0.0
"WRIGHT TREE SERVICE (2672615 ONTARIO INC),QUINN LANDSCAPING,TMK TREE AND HEDGES INC,ASPLUNDH CANADA INC",1,1,4320272.82,0.0,0.00072,0.85268,0.0
CLEVER DEVICES ULC CANADA,6,10,4304064.49,2933871.69,0.00072,0.8534,0.6817
MACEWEN PETROLEUM INC,3,5,4259543.42,0.0,0.00071,0.85411,0.0
PREHOS INC,1,2,4173108.19,0.0,0.0007,0.85481,0.0
DOMINION VOTING SYSTEM CORP,2,2,4152309.27,0.0,0.0007,0.85551,0.0
TURF CARE PRODUCTS CANADA INC,2,4,4107437.35,0.0,0.00069,0.8562,0.0
NETAGEN COMMUNICATION TECHNOLOGIES,4,4,4053693.43,41549.03,0.00068,0.85688,0.0102
GFL ENVIRONMENTAL SERVICES INC.,3,3,4047214.87,4047214.87,0.00068,0.85756,1.0
